method,topic,rank,node,pagerank
OpenIE (Baseline),ALL,1,元,0.010239088949349131
OpenIE (Baseline),ALL,2,什么,0.007339290757929987
OpenIE (Baseline),ALL,3,作用,0.006306854535381995
OpenIE (Baseline),ALL,4,特朗普,0.004903834102298424
OpenIE (Baseline),ALL,5,金,0.004894021826928369
OpenIE (Baseline),ALL,6,问题,0.004558913293726608
OpenIE (Baseline),ALL,7,死刑,0.004164031422801293
OpenIE (Baseline),ALL,8,人,0.00410277881111495
OpenIE (Baseline),ALL,9,影响,0.0034836820680134873
OpenIE (Baseline),ALL,10,地震,0.0034802994659659174
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,1,走势,0.012850065281616444
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,2,态势,0.010540873512717656
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,3,市,0.010478818806913844
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,4,位,0.00978789458338525
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,5,股,0.009081815090471653
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,6,点,0.008930618612620319
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,7,昨日,0.008427800164400994
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,8,地方,0.007716655714082411
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,9,利好,0.007509950531913266
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,10,会,0.007194150948043741
OpenIE (Baseline),Topic_中国38个国家免签,1,国家,0.07493750571444206
OpenIE (Baseline),Topic_中国38个国家免签,2,存度,0.04783245045602684
OpenIE (Baseline),Topic_中国38个国家免签,3,力,0.019372142434690872
OpenIE (Baseline),Topic_中国38个国家免签,4,。inpadevellikenmargin二potostasefrefort,0.018457346819719358
OpenIE (Baseline),Topic_中国38个国家免签,5,机会,0.016264182973569706
OpenIE (Baseline),Topic_中国38个国家免签,6,日,0.014691792776697084
OpenIE (Baseline),Topic_中国38个国家免签,7,环境,0.014543495983504242
OpenIE (Baseline),Topic_中国38个国家免签,8,小时,0.014066551261168667
OpenIE (Baseline),Topic_中国38个国家免签,9,槛,0.013273505001547451
OpenIE (Baseline),Topic_中国38个国家免签,10,省份,0.013273505001547451
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,1,死刑,0.08582032863849125
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,2,白,0.03774979458159313
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,3,CHA,0.01573924389289033
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,4,部,0.009181817090469155
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,5,中国,0.008658184345267762
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,6,教授,0.008507699401562341
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,7,建议,0.008507699401562341
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,8,人,0.006792099076432727
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,9,惩,0.005870452273566409
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,10,回应,0.005806048189737133
OpenIE (Baseline),Topic_中国发现世界最大金矿,1,观点,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,2,师,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,3,民族,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,4,投资,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,5,金矿,0.011877269084480804
OpenIE (Baseline),Topic_中国发现世界最大金矿,6,矿脉,0.008811247298017652
OpenIE (Baseline),Topic_中国发现世界最大金矿,7,矿,0.008159204168739338
OpenIE (Baseline),Topic_中国发现世界最大金矿,8,元,0.007775882509462485
OpenIE (Baseline),Topic_中国发现世界最大金矿,9,点,0.007186116337973077
OpenIE (Baseline),Topic_中国发现世界最大金矿,10,关注,0.007137278921241527
OpenIE (Baseline),Topic_中国核动力航母国防部回应,1,航母,0.03337713363337323
OpenIE (Baseline),Topic_中国核动力航母国防部回应,2,显示,0.01895358012289416
OpenIE (Baseline),Topic_中国核动力航母国防部回应,3,洋,0.017912898333555558
OpenIE (Baseline),Topic_中国核动力航母国防部回应,4,短板,0.017912898333555558
OpenIE (Baseline),Topic_中国核动力航母国防部回应,5,号,0.012757767606000453
OpenIE (Baseline),Topic_中国核动力航母国防部回应,6,军,0.011993201039718404
OpenIE (Baseline),Topic_中国核动力航母国防部回应,7,来风,0.009589293547534307
OpenIE (Baseline),Topic_中国核动力航母国防部回应,8,音,0.009589293547534307
OpenIE (Baseline),Topic_中国核动力航母国防部回应,9,危机,0.009589293547534307
OpenIE (Baseline),Topic_中国核动力航母国防部回应,10,能力,0.008824726981252258
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,1,黄金,0.02172560870162596
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,2,月,0.0204645101048298
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,3,高管,0.01757066261019333
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,4,组,0.016207392206488987
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,5,珠宝,0.014501892825393346
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,6,马,0.014253653060211667
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,7,大波,0.012545098587881071
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,8,审查,0.010380973591476314
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,9,消息,0.010294963944945152
OpenIE (Baseline),Topic_中国黄金陈雄伟被查,10,小时,0.010287442943247845
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,1,月,0.018298131719656743
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,2,巴拿马,0.017415496897093208
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,3,协议,0.01441699508580357
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,4,量,0.01161122735050283
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,5,运河,0.01131966034170143
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,6,民众,0.011180818908938859
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,7,一起,0.011180818908938859
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,8,立大功,0.010972556759795
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,9,刻,0.009941800796464294
OpenIE (Baseline),Topic_中方巴拿马退出一带一路,10,一路,0.00956825074494495
OpenIE (Baseline),Topic_住建部住宅层高标准调整,1,元,0.023363858828450792
OpenIE (Baseline),Topic_住建部住宅层高标准调整,2,标准,0.021185020653293047
OpenIE (Baseline),Topic_住建部住宅层高标准调整,3,部,0.016934346223006873
OpenIE (Baseline),Topic_住建部住宅层高标准调整,4,建设,0.014500971988016004
OpenIE (Baseline),Topic_住建部住宅层高标准调整,5,内容,0.013573024462069911
OpenIE (Baseline),Topic_住建部住宅层高标准调整,6,规范,0.011845230162120341
OpenIE (Baseline),Topic_住建部住宅层高标准调整,7,房子,0.011131260151175316
OpenIE (Baseline),Topic_住建部住宅层高标准调整,8,部长,0.01109938714873158
OpenIE (Baseline),Topic_住建部住宅层高标准调整,9,转,0.009535519294138657
OpenIE (Baseline),Topic_住建部住宅层高标准调整,10,会,0.009462362825522572
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,1,事,0.020310667433021304
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,2,趋势,0.013830888128774211
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,3,指南,0.01097873915298449
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,4,医药,0.010978739152936958
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,5,股,0.01097873915292857
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,6,畏寒,0.008079837506055882
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,7,流感,0.007620566919013902
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,8,区别,0.007568266627186127
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,9,医生,0.00743314077310251
OpenIE (Baseline),Topic_全国流感病毒阳性率上升,10,大家,0.0069212372381111265
OpenIE (Baseline),Topic_刘强东京东快递员退休金,1,作者,0.018321873864636486
OpenIE (Baseline),Topic_刘强东京东快递员退休金,2,单,0.018321873864636486
OpenIE (Baseline),Topic_刘强东京东快递员退休金,3,金,0.016780188758849155
OpenIE (Baseline),Topic_刘强东京东快递员退休金,4,谎言,0.012851703323741692
OpenIE (Baseline),Topic_刘强东京东快递员退休金,5,刘,0.012697465463261224
OpenIE (Baseline),Topic_刘强东京东快递员退休金,6,信息,0.009903715602506209
OpenIE (Baseline),Topic_刘强东京东快递员退休金,7,材源,0.009903715602506209
OpenIE (Baseline),Topic_刘强东京东快递员退休金,8,京,0.005696189209638917
OpenIE (Baseline),Topic_刘强东京东快递员退休金,9,们,0.005557750812118032
OpenIE (Baseline),Topic_刘强东京东快递员退休金,10,关注,0.005392651862131992
OpenIE (Baseline),Topic_四川地震,1,地震,0.022148364106694667
OpenIE (Baseline),Topic_四川地震,2,孩子,0.006326580126135452
OpenIE (Baseline),Topic_四川地震,3,我,0.003933517169900503
OpenIE (Baseline),Topic_四川地震,4,人,0.003749602575528764
OpenIE (Baseline),Topic_四川地震,5,元,0.0033492140495353577
OpenIE (Baseline),Topic_四川地震,6,兴趣,0.0030761321594195124
OpenIE (Baseline),Topic_四川地震,7,力,0.0027185724620124177
OpenIE (Baseline),Topic_四川地震,8,年,0.002700152453079515
OpenIE (Baseline),Topic_四川地震,9,废墟,0.0026863918382177858
OpenIE (Baseline),Topic_四川地震,10,牢,0.002656332171171249
OpenIE (Baseline),Topic_微信提醒木马病毒,1,诈骗,0.08228128990321147
OpenIE (Baseline),Topic_微信提醒木马病毒,2,信息,0.04381478687346012
OpenIE (Baseline),Topic_微信提醒木马病毒,3,人员,0.03524724756228822
OpenIE (Baseline),Topic_微信提醒木马病毒,4,病毒,0.033323922410800656
OpenIE (Baseline),Topic_微信提醒木马病毒,5,人,0.03175029274140174
OpenIE (Baseline),Topic_微信提醒木马病毒,6,链接,0.02963157523929713
OpenIE (Baseline),Topic_微信提醒木马病毒,7,风险,0.029176533993229278
OpenIE (Baseline),Topic_微信提醒木马病毒,8,用户,0.024756383099628753
OpenIE (Baseline),Topic_微信提醒木马病毒,9,通知,0.024756383099628753
OpenIE (Baseline),Topic_微信提醒木马病毒,10,4,0.02283305794814119
OpenIE (Baseline),Topic_拜登告别演讲,1,演讲,0.03941493849269117
OpenIE (Baseline),Topic_拜登告别演讲,2,白宫,0.02540887227864242
OpenIE (Baseline),Topic_拜登告别演讲,3,日,0.024808276764063882
OpenIE (Baseline),Topic_拜登告别演讲,4,美国,0.012196273979489938
OpenIE (Baseline),Topic_拜登告别演讲,5,内容,0.012019210370199039
OpenIE (Baseline),Topic_拜登告别演讲,6,政府,0.00663040689161739
OpenIE (Baseline),Topic_拜登告别演讲,7,卓识,0.006369848466156132
OpenIE (Baseline),Topic_拜登告别演讲,8,成绩,0.0061427504158539205
OpenIE (Baseline),Topic_拜登告别演讲,9,协议,0.00603622321714001
OpenIE (Baseline),Topic_拜登告别演讲,10,年,0.0057262902101260045
OpenIE (Baseline),Topic_提高农村养老金标准,1,元,0.05530405701179502
OpenIE (Baseline),Topic_提高农村养老金标准,2,肉,0.024348901955629852
OpenIE (Baseline),Topic_提高农村养老金标准,3,金,0.016255434998425997
OpenIE (Baseline),Topic_提高农村养老金标准,4,标准,0.009881188297418717
OpenIE (Baseline),Topic_提高农村养老金标准,5,音号,0.0063118244574032045
OpenIE (Baseline),Topic_提高农村养老金标准,6,补贴,0.006175247764833425
OpenIE (Baseline),Topic_提高农村养老金标准,7,关系,0.005992749310931523
OpenIE (Baseline),Topic_提高农村养老金标准,8,一下,0.00598523587660695
OpenIE (Baseline),Topic_提高农村养老金标准,9,钱,0.005852293959921717
OpenIE (Baseline),Topic_提高农村养老金标准,10,人生,0.005631184837446447
OpenIE (Baseline),Topic_提高城乡居民基础养老金,1,金,0.03753958539552059
OpenIE (Baseline),Topic_提高城乡居民基础养老金,2,元,0.021953961388574975
OpenIE (Baseline),Topic_提高城乡居民基础养老金,3,消费,0.0067630108716706045
OpenIE (Baseline),Topic_提高城乡居民基础养老金,4,标准,0.0067507349648367534
OpenIE (Baseline),Topic_提高城乡居民基础养老金,5,攻关,0.006139638257437693
OpenIE (Baseline),Topic_提高城乡居民基础养老金,6,消息,0.005938620769236111
OpenIE (Baseline),Topic_提高城乡居民基础养老金,7,质量,0.005656772834700742
OpenIE (Baseline),Topic_提高城乡居民基础养老金,8,政策,0.005340847429544389
OpenIE (Baseline),Topic_提高城乡居民基础养老金,9,提高,0.004879620660757413
OpenIE (Baseline),Topic_提高城乡居民基础养老金,10,保障,0.0048614578442234616
OpenIE (Baseline),Topic_特朗普上任三把火,1,消息,0.03834747493315333
OpenIE (Baseline),Topic_特朗普上任三把火,2,火,0.017669003396317377
OpenIE (Baseline),Topic_特朗普上任三把火,3,战,0.01761334470914917
OpenIE (Baseline),Topic_特朗普上任三把火,4,较量,0.013918465131791898
OpenIE (Baseline),Topic_特朗普上任三把火,5,什么,0.006225763432327424
OpenIE (Baseline),Topic_特朗普上任三把火,6,总统,0.005991912365179246
OpenIE (Baseline),Topic_特朗普上任三把火,7,特朗普,0.005755519934850291
OpenIE (Baseline),Topic_特朗普上任三把火,8,日,0.004645757956152162
OpenIE (Baseline),Topic_特朗普上任三把火,9,白宫,0.004232132035862288
OpenIE (Baseline),Topic_特朗普上任三把火,10,视频,0.004222091382438885
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,1,关税,0.023205391738763244
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,2,挑战,0.012437841170567667
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,3,消息,0.012198660152332405
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,4,战,0.010535949301972507
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,5,VOICE,0.010314248994482198
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,6,税,0.00930649502337914
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,7,关注,0.008482005972071384
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,8,性,0.008327864035065226
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,9,影响,0.007747835992679822
OpenIE (Baseline),Topic_特朗普中国商品加征10关税,10,元,0.006594050087745958
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,1,协议,0.00943988907062572
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,2,号,0.00939735619030214
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,3,性,0.007384384901907932
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,4,问题,0.00667582056003806
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,5,关节,0.006196522819938025
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,6,领土,0.00511544293026972
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,7,美国,0.005047899442279829
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,8,乌克兰,0.004464904205862261
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,9,内容,0.004448435685984314
OpenIE (Baseline),Topic_特朗普乌克兰要求获取,10,影响,0.004348076753559372
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,1,制裁,0.012843738429547346
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,2,地图,0.006691305547316584
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,3,政治,0.0066186681884943125
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,4,闹剧,0.006559631127332396
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,5,总统,0.006210866721521186
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,6,频道,0.0061883874473903965
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,7,画面,0.0061883874473903965
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,8,权,0.005782767492437248
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,9,岛,0.00554041493137403
OpenIE (Baseline),Topic_特朗普巴拿马运河控制权,10,特朗普,0.005153825741956682
OpenIE (Baseline),Topic_特朗普政策普京,1,特朗普,0.0067054506640940315
OpenIE (Baseline),Topic_特朗普政策普京,2,声明,0.006544758092804389
OpenIE (Baseline),Topic_特朗普政策普京,3,什么,0.006191123880047469
OpenIE (Baseline),Topic_特朗普政策普京,4,日,0.005506602041279306
OpenIE (Baseline),Topic_特朗普政策普京,5,可能,0.005403767951123705
OpenIE (Baseline),Topic_特朗普政策普京,6,变化,0.005304997191928623
OpenIE (Baseline),Topic_特朗普政策普京,7,政策,0.005165274412708753
OpenIE (Baseline),Topic_特朗普政策普京,8,影响,0.0045625452715680245
OpenIE (Baseline),Topic_特朗普政策普京,9,效果,0.0038163232239314497
OpenIE (Baseline),Topic_特朗普政策普京,10,问题,0.0036352203226768264
OpenIE (Baseline),Topic_特朗普新政美国风险,1,货币,0.011250782042820892
OpenIE (Baseline),Topic_特朗普新政美国风险,2,压力,0.007892282603951483
OpenIE (Baseline),Topic_特朗普新政美国风险,3,日,0.00742551614826179
OpenIE (Baseline),Topic_特朗普新政美国风险,4,特朗普,0.007095961748049406
OpenIE (Baseline),Topic_特朗普新政美国风险,5,疗法,0.0060789030138177795
OpenIE (Baseline),Topic_特朗普新政美国风险,6,什么,0.005563457629876649
OpenIE (Baseline),Topic_特朗普新政美国风险,7,制约,0.005560699024664227
OpenIE (Baseline),Topic_特朗普新政美国风险,8,人意,0.005560699024664227
OpenIE (Baseline),Topic_特朗普新政美国风险,9,手术,0.005560699024664227
OpenIE (Baseline),Topic_特朗普新政美国风险,10,地位,0.005273804082572294
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,1,新闻,0.023414305579613034
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,2,点,0.012888650972672517
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,3,什么,0.011153953235635691
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,4,局势,0.00948279375974328
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,5,娘子,0.009184261363603213
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,6,赢家,0.00903499516553318
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,7,20,0.00883597356810647
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,8,2025.0,0.008523038293205259
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,9,美,0.008416606630671614
OpenIE (Baseline),Topic_特朗普格陵兰岛军队部署,10,特朗普,0.008410665030571526
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,1,什么,0.012545162471744614
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,2,新闻,0.01041051006352612
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,3,虎资,0.0069596724658670455
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,4,人,0.0064984588889391145
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,5,特朗普,0.006116880380015678
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,6,计划,0.005922447031430375
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,7,一,0.0046717451682817615
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,8,他,0.004398358502283395
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,9,电话,0.004380638172177012
OpenIE (Baseline),Topic_特朗普泽连斯基希望协议,10,问题,0.004325656698155224
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,1,消息,0.04041727401596167
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,2,特朗普,0.025474383480385606
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,3,法院,0.021006878169796083
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,4,人,0.018945597194982036
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,5,官司,0.01837074978220573
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,6,观点,0.015596015610909215
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,7,总统,0.014480186682131147
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,8,请求,0.014063796752964108
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,9,动议,0.01340590457516929
OpenIE (Baseline),Topic_特朗普罪名成立不予惩罚,10,日,0.012530453686899269
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,1,室,0.013002787861661584
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,2,署,0.009305204234861017
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,3,词儿,0.00912476341169234
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,4,影响,0.008836207211517406
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,5,特朗普,0.008570940596498064
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,6,部,0.0069958365799193956
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,7,意思,0.006820440082991377
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,8,美国,0.00678054056179953
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,9,腰包,0.006547916145005627
OpenIE (Baseline),Topic_特朗普美国国际开发署意味,10,资金,0.006402449103230748
OpenIE (Baseline),Topic_特朗普赢得美国总统,1,什么,0.008054403069843523
OpenIE (Baseline),Topic_特朗普赢得美国总统,2,大选,0.00658214994282142
OpenIE (Baseline),Topic_特朗普赢得美国总统,3,对比,0.006564961899676282
OpenIE (Baseline),Topic_特朗普赢得美国总统,4,人,0.00583018335968217
OpenIE (Baseline),Topic_特朗普赢得美国总统,5,特朗普,0.005652322692849217
OpenIE (Baseline),Topic_特朗普赢得美国总统,6,总统,0.0050460219305849645
OpenIE (Baseline),Topic_特朗普赢得美国总统,7,台,0.004997372493765949
OpenIE (Baseline),Topic_特朗普赢得美国总统,8,事务,0.004452757659694426
OpenIE (Baseline),Topic_特朗普赢得美国总统,9,龙头,0.004452757659694426
OpenIE (Baseline),Topic_特朗普赢得美国总统,10,罪犯,0.004452757659694426
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,1,会,0.024544219158504327
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,2,决定,0.014159399997180673
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,3,来源,0.012028304573946574
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,4,2018,0.01195475019345841
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,5,代表,0.011537942037358823
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,6,关注,0.00877182091417467
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,7,内政,0.008701375492836798
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,8,日,0.008436676388818249
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,9,令,0.00820080492615644
OpenIE (Baseline),Topic_特朗普退出联合国人权理事会,10,大波,0.007748436304405609
OpenIE (Baseline),Topic_特朗普马斯克起诉,1,杂谈,0.016109022045407102
OpenIE (Baseline),Topic_特朗普马斯克起诉,2,票,0.008394842474367082
OpenIE (Baseline),Topic_特朗普马斯克起诉,3,部,0.00814156389266045
OpenIE (Baseline),Topic_特朗普马斯克起诉,4,元,0.006110912292409551
OpenIE (Baseline),Topic_特朗普马斯克起诉,5,币,0.005874938351875179
OpenIE (Baseline),Topic_特朗普马斯克起诉,6,特朗普,0.005821497570479483
OpenIE (Baseline),Topic_特朗普马斯克起诉,7,诉讼,0.00510271366361843
OpenIE (Baseline),Topic_特朗普马斯克起诉,8,什么,0.004566360692343016
OpenIE (Baseline),Topic_特朗普马斯克起诉,9,deepseek,0.004537752688847071
OpenIE (Baseline),Topic_特朗普马斯克起诉,10,GUO,0.004537752688847071
OpenIE (Baseline),Topic_移民入境美国,1,移民,0.011025664869788438
OpenIE (Baseline),Topic_移民入境美国,2,人,0.010068564278338864
OpenIE (Baseline),Topic_移民入境美国,3,问题,0.00875386431737807
OpenIE (Baseline),Topic_移民入境美国,4,机会,0.006606717588326644
OpenIE (Baseline),Topic_移民入境美国,5,较量,0.006498049116570375
OpenIE (Baseline),Topic_移民入境美国,6,美国,0.00634629100629109
OpenIE (Baseline),Topic_移民入境美国,7,特权,0.006128080051882655
OpenIE (Baseline),Topic_移民入境美国,8,时代,0.0053873443306223425
OpenIE (Baseline),Topic_移民入境美国,9,表态,0.005372832344178266
OpenIE (Baseline),Topic_移民入境美国,10,什么,0.005028071137531765
OpenIE (Baseline),Topic_金价大涨历史新高,1,方面,0.05798230219519485
OpenIE (Baseline),Topic_金价大涨历史新高,2,种种,0.0313417849703756
OpenIE (Baseline),Topic_金价大涨历史新高,3,摩擦,0.02637651643225787
OpenIE (Baseline),Topic_金价大涨历史新高,4,元,0.02605503781319513
OpenIE (Baseline),Topic_金价大涨历史新高,5,新高,0.025500292572590035
OpenIE (Baseline),Topic_金价大涨历史新高,6,黄金,0.013671418452916563
OpenIE (Baseline),Topic_金价大涨历史新高,7,纪录,0.01269342291300212
OpenIE (Baseline),Topic_金价大涨历史新高,8,钱,0.012094011275443685
